TreeID,TreeHeight,TreeSpread,TreeNorth,TreeEast,FrmVigName,LocModName,TreeRem,TreePltDat,SpName,SpCmnName
AC0118,21,10,-31.99846285,115.8893552,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0119,16,7,-31.99845222,115.887984,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0120,13,6,-31.9984533,115.8880863,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0121,21,10,-31.99846887,115.8895157,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0122,5,9,-31.99845607,115.8879258,Good vigour with average form,Perfect suitability,Existing,,Pinus pinaster, 
AC0123,21,9,-31.99847702,115.8901114,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0124,9,5,-31.99846027,115.8879225,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0125,23,16,-31.99845683,115.8872915,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0126,14,6,-31.99846186,115.8878496,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0127,22,10,-31.99847538,115.8888255,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0128,10,6,-31.99846088,115.8871076,Good form with good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0129,10,3,-31.99847043,115.888137,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0130,21,10,-31.99848713,115.8899028,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0131,6,12,-31.99847036,115.8879562,Good vigour with poor form,Perfect suitability,Existing,,Pinus pinaster, 
AC0132,13,3,-31.99847343,115.8881318,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0133,8,2,-31.99847344,115.8879691,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0134,9,3,-31.99847381,115.8877453,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0135,9,3,-31.99847505,115.8877971,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0136,24,13,-31.99848067,115.8884389,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0137,9,2,-31.99847511,115.8877586,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0138,15,3,-31.99847734,115.8879583,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0139,21,11,-31.99849174,115.8892201,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0140,14,7,-31.99848226,115.8880733,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0141,24,13,-31.99848379,115.8881397,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0142,15,4,-31.99848475,115.8881655,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0143,6,4,-31.99847632,115.8870299,Good form with good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0144,10,3,-31.99848597,115.8880584,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0145,13,3,-31.99848455,115.8876582,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0146,21,8,-31.99850079,115.8894435,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0147,7,2,-31.99848763,115.8877671,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0148,8,3,-31.99848773,115.8877646,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0149,6,2,-31.99848892,115.8877286,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0150,21,13,-31.99850138,115.8890463,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0151,8,2,-31.99849073,115.8877393,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0152,9,2,-31.99849257,115.887787,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0153,9,3,-31.99849231,115.8877464,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0154,15,7,-31.99849593,115.8880814,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0155,20,10,-31.99851184,115.8897612,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0156,14,7,-31.99849814,115.8880586,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0157,23,14,-31.99849369,115.8875045,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0158,23,14,-31.99849143,115.8871616,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0159,5,12,-31.99849647,115.8873177,Good vigour with average form,Perfect suitability,Existing,,Melaleuca rhaphiophylla, 
AC0160,21,10,-31.99851442,115.8889553,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0161,15,4,-31.99850787,115.8881693,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0162,13,4,-31.9985092,115.8883089,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0163,16,5,-31.99850975,115.8880763,Dead,Perfect suitability,Existing,,Pinus pinaster, 
AC0164,14,6,-31.99851178,115.8882782,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0165,9,5,-31.99851294,115.8882298,Excessive deadwood; cavities & poor form,Perfect suitability,Existing,,Pinus pinaster, 
AC0166,15,8,-31.99851884,115.8881561,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0167,10,3,-31.99852025,115.8878288,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0168,21,13,-31.99854045,115.8901245,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0169,7,2,-31.99852392,115.888193,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0170,22,9,-31.99852987,115.8886559,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0171,3,3,-31.99852534,115.8876621,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0172,4,14,-31.99852398,115.8873204,Poor form with average vigour,Perfect suitability,Existing,,Melaleuca species, 
AC0173,23,11,-31.998527,115.8876434,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0174,20,8,-31.99854685,115.8898489,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0175,2,2,-31.99854509,115.8889222,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Acacia Species, 
AC0176,16,4,-31.9985409,115.8882209,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0177,24,14,-31.99854353,115.8885167,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0178,4,4,-31.99856833,115.8912186,Poor form with average vigour,Perfect suitability,Existing,,Corymbia ficifolia, 
AC0179,7,2,-31.99854055,115.8876473,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0180,13,5,-31.99854337,115.8878384,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0181,5,1,-31.99854497,115.8876698,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0182,13,6,-31.99854822,115.8880151,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0183,7,2,-31.99854542,115.8876706,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0184,17,5,-31.99855098,115.888241,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0185,7,2,-31.9985479,115.8876847,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0186,5,3,-31.99855039,115.8876614,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0187,10,4,-31.99855286,115.8878107,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0188,7,2,-31.99855329,115.88771,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0189,13,9,-31.99855659,115.8880354,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0190,7,2,-31.99855337,115.8876489,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0191,20,10,-31.99857834,115.8897246,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0192,5,2,-31.9985618,115.8877138,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0193,6,2,-31.99856191,115.8876725,Good vigour with poor form,Perfect suitability,Existing,,Pinus pinaster, 
AC0194,9.5,2,-31.99856264,115.887691,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0195,23,12,-31.99856077,115.887464,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0196,13,7,-31.99856525,115.887943,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0197,21,14,-31.99859571,115.8910841,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0198,4,19,-31.99856489,115.8874914,Good form with good vigour,Perfect suitability,Existing,,Melaleuca rhaphiophylla, 
AC0199,7,2,-31.99856703,115.8877149,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0200,5,2,-31.99856772,115.8876845,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0201,3,5,-31.99858472,115.8889164,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Melaleuca species, 
AC0202,3,4,-31.99857542,115.8878135,Good form with good vigour,Perfect suitability,Existing,,Banksia species, 
AC0203,23,16,-31.99857113,115.8870911,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0204,23,13,-31.99857436,115.887241,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0205,13,7,-31.99858127,115.8879913,Dead,Perfect suitability,Existing,,Pinus pinaster, 
AC0206,7,3,-31.99858522,115.8877172,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0207,10,4,-31.99858758,115.8878057,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0208,23,12,-31.99859303,115.8882986,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0209,15,9,-31.998595,115.8881509,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0210,21,10,-31.99860455,115.8891363,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0211,21,10,-31.99860599,115.8890055,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0212,21,14,-31.9986096,115.8893285,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0213,20,8,-31.99861282,115.8895974,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0214,21,9,-31.99861158,115.8892553,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0215,23,12,-31.99859839,115.8877404,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0216,12,16,-31.99863518,115.8917682,Perfect form and excellent vigour,Perfect suitability,Existing,,Eucalyptus rudis, 
AC0217,23,13,-31.99859905,115.8875234,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0218,7,2,-31.99859917,115.8873416,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0219,21,9,-31.99862122,115.8896736,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0220,7,2,-31.99860403,115.8873534,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0221,21,10,-31.99861588,115.888691,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0222,13,5,-31.99861051,115.8879609,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0223,6,9,-31.99864368,115.8917019,Slight imperfections & slightly reduced vigour,Perfect suitability,Existing,,Eucalyptus rudis, 
AC0224,10,4,-31.99861019,115.8878588,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0225,13,18,-31.99864213,115.8914386,Perfect form and excellent vigour,Perfect suitability,Existing,,Corymbia calophylla, 
AC0226,23,12,-31.99860686,115.8873481,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0227,6,7,-31.99863137,115.8901434,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Brachychiton acerifolius, 
AC0228,23,11,-31.99862859,115.8883959,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0229,13,5,-31.99862297,115.8877229,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0230,10,5,-31.99862528,115.8879094,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0231,21,12,-31.99865453,115.8911429,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0232,6,2,-31.99862612,115.887819,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0233,2,6,-31.99866102,115.8915468,Perfect form and excellent vigour,Perfect suitability,Existing,,Banksia menziesii, 
AC0234,21,14,-31.99863839,115.8888996,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0235,2,2,-31.99864,115.8888509,Good form with good vigour,Perfect suitability,Existing,,Acacia Species, 
AC0236,2,5,-31.99866834,115.8916628,Perfect form and excellent vigour,Perfect suitability,Existing,,Banksia menziesii, 
AC0237,21,11,-31.9986489,115.8894197,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0238,9,2,-31.99863848,115.8882098,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0239,10,3,-31.99863772,115.8880032,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0240,23,14,-31.99863173,115.8871853,Good form with good vigour,Could be better located but no problems,Existing,,Pinus pinaster, 
AC0241,7,3,-31.99863738,115.887728,Dead,Perfect suitability,Existing,,Pinus pinaster, 
AC0242,7,3,-31.99864064,115.8879482,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0243,13,5,-31.9986412,115.8879579,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0244,23,10,-31.99864644,115.8883352,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0245,3,2,-31.99865792,115.8895948,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0246,20,10,-31.99866189,115.8897091,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0247,9,2,-31.99865057,115.8881872,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0248,21,13,-31.99866026,115.889207,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
